I am pleased-> Elégedett vagyok
He is satisfied-> Elégedett
I am disappointed-> Csalódott vagyok
She was disappointed-> Csalódott volt
I felt disappointment-> Csalódást éreztem
There was a big disappointment-> Nagy csalódás volt
I have an appointment-> Van egy időpontom / találkozóm.
I have a doctor’s appointment-> Orvosi időpontom van
Character traits and personality-> Belső tulajdonságok és személyiségjegyek
He is active-> Aktív
She is adventurous-> Kalandvágyó
He is aggressive-> Agresszív
She is ambitious-> Ambiciózus
He is brave-> Bátor
She is calm-> Nyugodt
He is relaxed->nyugodt
She is caring-> Gondoskodó
He is cheerful-> Vidám
She is clever-> Okos
He is confident-> Magabiztos
She is consistent-> Következetes
He is creative->Kreatív
She is easy-going-> Könnyen kezelhető, laza
He is flexible-> Rugalmas
She is friendly-> Barátságos
He is funny-> Vicces
She is generous-> Nagylelkű
He is hard-working-> Dolgos
He has a sense of humor-> Van humorérzéke
She is helpful-> Segítőkész
He is honest-> Őszinte
She is humorous-> Humoros
He is independent->Független
She is kind-> Kedves
He is boring-> Unalmas
She is dishonest-> Nem öszinte
He is forgetful-> Feledékeny
She is impatient-> Türelmetlen
He is impolite-> Udvariatlan
She is indecisive-> Döntésképtelen
He is irresponsible-> Felelőtlen
he is responsible-> Felelőségteljes
She is jealous-> Féltékeny
He is lazy-> Lusta
She is mean->Gonosz,Kötekedő
He is responsible for the project-> Ő felelős a projektért
She is responsible for the children-> Ő felel a gyerekekért
Who is responsible for this mistake? -> Ki felelős ezért a hibáért?
He is messy-> Rendetlen
She is patient-> Türelmes
He is polite-> Udvarias
She is punctual-> Pontos
He is a rebel-> Lázadó
She is rebellious-> Lázadó természetű
He is reasonable-> Ésszerű
She is reliable-> Megbízható
He is reserved-> Visszahúzódó
She is rude-> Durva,udvariatlan,goromba
He is self-confident-> Önbizalommal teli
She is selfish-> Önző
He is sensitive-> Érzékeny
She is serious-> Komoly
He is shy-> Félénk
She is sociable-> Társaságkedvelő
He is spoilt-> El van kényeztetve
She is sporty-> Sportos
He is strict-> Szigorú
She is stubborn-> Makacs
He is talented-> Tehetséges
She is talkative-> Beszédes
He is understanding-> Megértő
She is unpredictable->Kiszámíthatatlan
He is predictable-> Kiszámítható
She is unreliable->Megbízhatatlan
